,Course Name,University,Location,Cost,Cost per,Duration,Extra
1217,Cyber Security Engineering, University of Southern California ," Los Angeles, California, United States ",1816 EUR,credit,2 years,M.Sc. Full-time Online
1218,Advanced Computer Science with a Year in Industry, University of Liverpool ," Liverpool, England, United Kingdom ",27262 EUR,year,2 years,M.Sc. Full-time Blended Learning
1219,Data Science (in planning), XU Exponential University of Applied Sciences ," Potsdam, Germany ",12495 EUR,year,2 years,M.Sc. Full-time
1220,Information Technology Management, Grand Canyon University , Online ,429 EUR,credit, ,M.Sc. Part-time
1221,Software Engineering, Babes-Bolyai University ," Cluj-Napoca, Romania ",6000 EUR,year,2 years,Full-time
1222,Computer Science, University of Padua ," Padova, Italy ",2622 EUR,year,2 years,Full-time
1223,Quantum Information Science, University of Southern California ," Los Angeles, California, United States ",48939 EUR,year,1 year,M.Sc. Full-time
1224,Riverine and Estuarine Processes, University of Brighton ," Brighton, England, United Kingdom ",17825 EUR,year,1 year,M.Res. Full-time Part-time
1225,Information Technology, Worcester Polytechnic Institute ," Worcester, Massachusetts, United States ",23933 EUR,year,1 year,M.Sc. Full-time
1226,Information Technology in Education, The University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",17879 EUR,year,1 year,M.Sc. Full-time Part-time
1227,Neural Information Processing, University of Tübingen ," Tübingen, Germany ",3000 EUR,year,1 year,M.Sc. Full-time
1228,Communication Engineering for IT, Carinthia University of Applied Sciences ," Spittal an der Drau, Austria ",726 EUR,year,2 years,M.Sc. Full-time
1229,Security Studies, Georgetown University ," Washington, D. C., Washington, D.C., United States ",45210 EUR,year,1 year,M.A. Full-time
1230,Information Technology Management, Grand Canyon University , Online ,429 EUR,credit, ,M.Sc. Part-time
1231,Software Engineering, Babes-Bolyai University ," Cluj-Napoca, Romania ",6000 EUR,year,2 years,Full-time
1232,Computer Science, University of Padua ," Padova, Italy ",2622 EUR,year,2 years,Full-time
1233,Quantum Information Science, University of Southern California ," Los Angeles, California, United States ",48939 EUR,year,1 year,M.Sc. Full-time
1234,Riverine and Estuarine Processes, University of Brighton ," Brighton, England, United Kingdom ",17825 EUR,year,1 year,M.Res. Full-time Part-time
1235,Information Technology, Worcester Polytechnic Institute ," Worcester, Massachusetts, United States ",23933 EUR,year,1 year,M.Sc. Full-time
1236,Information Technology in Education, The University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",17879 EUR,year,1 year,M.Sc. Full-time Part-time
1237,Neural Information Processing, University of Tübingen ," Tübingen, Germany ",3000 EUR,year,1 year,M.Sc. Full-time
1238,Communication Engineering for IT, Carinthia University of Applied Sciences ," Spittal an der Drau, Austria ",726 EUR,year,2 years,M.Sc. Full-time
1239,Security Studies, Georgetown University ," Washington, D. C., Washington, D.C., United States ",45210 EUR,year,1 year,M.A. Full-time
1240,Data Science, Macquarie University ," Sydney, New South Wales, Australia ",25326 EUR,year,1 year,Full-time Part-time
1241,Design for Health, OCAD University ," Toronto, Canada ",10615 EUR,year,2 years,Full-time
1242,Management Information Systems, University of Illinois at Chicago ," Chicago, Illinois, United States ",11564 EUR,full,½ year,Pre-Master Full-time
1243,Computer Science, Oklahoma City University ," Oklahoma City, Oklahoma, United States ",487 EUR,credit,1 year,M.Sc. Full-time
1244,Social Data Science, University of Oxford ," Oxford, England, United Kingdom ",31992 EUR,year,10 months,M.Sc. Full-time
1245,"International Law, International Relations and Diplomacy", Paris-Sorbonne University Abu Dhabi ," Abu Dhabi, United Arab Emirates ",18723 EUR,year,2 years,Full-time
1246,Computer Science online, University of Bath , Online ,841 EUR,module,"2 years, 3 months",M.Sc. Full-time
1247,Modern state of Artificial Intelligence (Online), Moscow Institute of Physics and Technology (MIPT) , Online ,4519 EUR,year,2 years,Part-time
1248,Applied Data Science, Teesside University ," Middlesbrough, England, United Kingdom ",15146 EUR,year,1 year,M.Sc. Full-time Part-time Online
1249,Information Science and Technology (Online), Missouri University of Science and Technology , Online ,11892 EUR,year,1 year,M.Sc. Part-time
1250,Information Studies (with specialisations), Charles Sturt University , Online ,14610 EUR,year,1½ years,Full-time Part-time
1251,Computer Science, Temple University ," Philadelphia, Pennsylvania, United States ",1250 EUR,credit,1 year,M.Sc. Full-time Part-time
1252,Graduate Pathway in Bioinformatics and Computational Biology, George Mason University ," Fairfax, Virginia, United States ",,,½ year,Pre-Master Full-time
1253,Communication Systems, Linköping University ," Linköping, Sweden ",12437 EUR,year,2 years,M.Sc. Full-time
1254,Data Science, Newcastle University ," Newcastle upon Tyne, England, United Kingdom ",28311 EUR,year,1 year,Full-time Part-time
1255,Communication Engineering, Chalmers University of Technology ," Göteborg, Sweden ",13816 EUR,year,2 years,M.Sc. Full-time
1256,Information Technology, Loyola University Chicago ," Chicago, Illinois, United States ",853 EUR,credit,1 year,M.Sc. Full-time
1257,Computer Science, Florida Institute of Technology ," Melbourne, Florida, United States ",1025 EUR,credit,1 year,M.Sc. Full-time
1258,Interactive Media and Game Development, Worcester Polytechnic Institute ," Worcester, Massachusetts, United States ",23933 EUR,year,3 years,Full-time
1259,Information Technology & Management, Florida Atlantic University ," Boca Raton, Florida, United States ",16959 EUR,year,1 year,M.Sc. Full-time
1260,Computer Science, University of Tsukuba ," Tsukuba, Japan ",4103 EUR,year,2 years,Full-time
1261,"Graduate Diploma in Science, Computing and Engineering - Big Data", University of Stirling ," Stirling, Scotland, United Kingdom ",18635 EUR,year,9 months,Pre-Master Full-time Blended Learning
1262,Computational Applied Mathematics, The University of Edinburgh ," Edinburgh, Scotland, United Kingdom ",29243 EUR,year,1 year,M.Sc. Full-time
1263,Computer Science, Aston University ," Birmingham, England, United Kingdom ",23126 EUR,year,1 year,M.Sc. Full-time
1264,Electrical Engineering and Information Technology, University of Kiel ," Kiel, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1265,Information Technology - Systems Analysis, Charles Sturt University Study Centres , Multiple locations ,15852 EUR,year,2 years,Full-time
1266,"Design by Data - Computational Design, Digital Manufacturing and Building Technologies", École des Ponts ParisTech ," Paris, France ",9750 EUR,year,"1 year, 4 months",M.Sc. Part-time
1267,Graduate Pathway in Information Security and Assurance - Information Security and Assurance, George Mason University ," Fairfax, Virginia, United States ",19085 EUR,year,½ year,Pre-Master Full-time
1268,Accountancy, Western Carolina University ," Asheville, North Carolina, United States ",16878 EUR,year,2 years,Full-time
1269,Computer Science and Molecular Biology, Massachusetts Institute of Technology (MIT) ," Cambridge, Massachusetts, United States ",44141 EUR,year,3 years,M.Eng. Full-time
1270,Information Health Engineering, Carlos III University of Madrid ," Leganés, Spain ",5044 EUR,year,1 year,M.Eng. Full-time
1271,Information Studies, Aalborg University ," Copenhagen, Denmark ",9338 EUR,year,2 years,Full-time
1272,Communication Networks and Software, University of Surrey ," Guildford, England, United Kingdom ",26097 EUR,year,1 year,M.Sc. Full-time Part-time
1273,National Security Studies, American Public University , Online ,306 EUR,credit,2 months,M.A. Part-time
1274,E-Learning, National Chiao Tung University ," Hsinchu, Taiwan ",,,2 years,Full-time
1275,Business Analytics, Imperial College London ," London, England, United Kingdom ",37864 EUR,year,1 year,M.Sc. Full-time
1276,Social Science of the Internet, University of Oxford ," Oxford, England, United Kingdom ",31992 EUR,year,10 months,M.Sc. Full-time Part-time
1277,Business Information Systems, University of Canterbury ," Christchurch, New Zealand ",26799 EUR,year,"1 year, 3 months",Full-time Part-time
1278,Intelligent Adaptive Systems, University of Hamburg ," Hamburg, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1279,Learning Systems Technology, University of Arkansas at Little Rock , Online ,316 EUR,credit,1 year,M.Ed. Part-time
1280,Computer Engineering, University of Louisiana at Lafayette ," Lafayette, Louisiana, United States ",1973 EUR,credit,1 year,M.Sc. Full-time
1281,Pre-Master's - Computer Science, INTO Manchester ," Manchester, England, United Kingdom ",18938 EUR,year,½ year,Pre-Master Full-time Blended Learning
1282,Software Engineering, Politehnica University Timisoara ," Timisoara, Romania ",2430 EUR,year,2 years,M.Eng. Full-time
1283,Telecommunications Engineering, Jackson State University ," Jackson, Mississippi, United States ",793 EUR,credit,1 year,M.Sc. Full-time
1284,Web Design and Development, Unicaf Scholarships , Online ,,,1 year,M.Sc. Part-time
1285,Software Engineering, University of Texas at Austin ," Austin, Texas, United States ",14039 EUR,year,2 years,M.Sc. Part-time Blended Learning
1286,Data Analytics, Catholic University of America ," Washington, D. C., Washington, D.C., United States ",41506 EUR,year,1 year,M.Sc. Full-time
1287,Data Science, University of Wisconsin La Crosse , Online ,702 EUR,credit,1 year,M.Sc. Part-time
1288,Computer Science, University of San Francisco ," San Francisco, California, United States ",1222 EUR,credit,2 years,M.Sc. Full-time
1289,Cloud Computing, Dublin Business School ," Dublin, Ireland ",12500 EUR,year,1 year,M.B.A. Full-time Part-time
1290,Computational Methods in Architecture, Cardiff University ," Cardiff, Wales, United Kingdom ",,,1 year,M.Sc. Full-time Part-time
1291,Information Systems," South University, Tampa "," Tampa, Florida, United States ",14051 EUR,year,1 year,M.Sc. Full-time Part-time Blended Learning
1292,Data Science - Artificial Intelligence Applications, University of Macau ," Macau, Macao (SAR) ",7924 EUR,year,2 years,M.Sc. Full-time
1293,Computational Engineering - Biomedicine Track, Illinois Institute of Technology ," Chicago, Illinois, United States ",1333 EUR,credit,1 year,Full-time
1294,Cloud and Network Infrastructure, Sorbonne University ," Paris, France ",3770 EUR,year,2 years,Full-time
1295,Digital Leadership, Heriot-Watt University Dubai ," Dubai, United Arab Emirates ",17705 EUR,year, ,M.Sc. Part-time
1296,Data Science (Computer Science), Lewis University , Online ,661 EUR,credit,2 years,M.Sc. Part-time
1297,Applied Geospatial Science, Bowling Green State University ," Bowling Green, Kentucky, United States ",15425 EUR,year,1 year,M.Sc. Full-time
1298,Games Design, University of the Arts London (UAL) ," London, England, United Kingdom ",26703 EUR,year,"1 year, 3 months",M.A. Full-time
1299,Computer Networks and Security, University of Essex ," Colchester, England, United Kingdom ",22579 EUR,year,1 year,M.Sc. Full-time Part-time
1300,Cyber Security Engineering, University of San Diego ," San Diego, California, United States ",1032 EUR,credit,"1 year, 8 months",M.Sc. Full-time Part-time Online
1301,Recording Arts and Technologies, Middle Tennessee State University ," Murfreesboro, Tennessee, United States ",14685 EUR,year,3 years,Full-time
1302,Computer Engineering, University of Sharjah ," Sharjah, United Arab Emirates ",12054 EUR,year,2 years,M.Sc. Full-time
1303,Computer Systems Engineering, University Fernando Pessoa ," Porto, Portugal ",,,2 years,M.Sc. Full-time
1304,Cybersecurity, Montclair State University ," Montclair, New Jersey, United States ",579 EUR,credit,2 years,M.Sc. Full-time
1305,Computer Networking and Cyber Security with Work Experience, London Metropolitan University ," London, England, United Kingdom ",16660 EUR,year,1½ years,M.Sc. Full-time Part-time
1306,Digital Humanities, Lancaster University ," Lancaster, England, United Kingdom ",23231 EUR,year,1 year,M.A. Full-time Part-time
1307,Graduate Pathway in Information Systems - Information Systems, George Mason University ," Fairfax, Virginia, United States ",19085 EUR,year,½ year,Pre-Master Full-time
1308,Computer Science (Applied), Dalhousie University ," Halifax, Canada ",4737 EUR,year,"1 year, 4 months",Full-time
1309,Computer Science, Roosevelt University ," Chicago, Illinois, United States ",17570 EUR,year,2 years,M.Sc. Full-time
1310,Information Systems, Indiana University Bloomington ," Bloomington, Indiana, United States ",25305 EUR,year,1 year,M.Sc. Full-time
1311,Computer Science and Engineering, Washington University in St. Louis ," Saint Louis, Missouri, United States ",47692 EUR,year,1 year,M.Eng. Full-time
1312,Computer Game Engineering, Newcastle University ," Newcastle upon Tyne, England, United Kingdom ",29010 EUR,year,1 year,M.Sc. Full-time
1313,Software Engineering, Texas Tech University , Online ,14477 EUR,year,1 year,M.Sc. Part-time
1314,Health Informatics, Northern Kentucky University ," Highland Heights, Kentucky, United States ",779 EUR,credit,1 year,M.Sc. Full-time
1315,Computer Science, University of Southern Mississippi ," West Hattiesburg, Mississippi, United States ",403 EUR,credit,2 years,M.Sc. Full-time
1316,Pre-Master's - Business Analytics (PGDip), INTO Manchester ," Manchester, England, United Kingdom ",18938 EUR,year,½ year,Pre-Master Full-time Blended Learning
1317,Information Security (Online), Cork Institute of Technology , Online ,6000 EUR,year,2 years,M.Sc. Part-time
1318,Composition (Electroacoustic Music and Interactive Media), The University of Manchester ," Manchester, England, United Kingdom ",23301 EUR,year,1 year,Full-time Part-time
1319,Information Technology (Professional Computing), Swinburne University of Technology ," Melbourne, Victoria, Australia ",16589 EUR,year,2 years,Full-time
1320,Computer Science, University of Colorado at Boulder ," Boulder, Colorado, United States ",30576 EUR,year,1 year,M.Sc. Full-time
